dataset, numInstances, numAttributes, classifier, minOcc, minOccPC, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
balance-scale, 625, 4, ODRI_T, 74, 0.1184, false, 0.2576, 0.6527719699986725, 0.7114695340501792, 0.6808304684647926, 0.7068119395579332, 7, 0.0112, 0.7264, 1.0, 2.2304, 0.5576, 0.2736
balance-scale, 625, 4, ODRI_T, 74, 0.1184, true, 0.2912, 0.6536270769230769, 0.7088, 0.6798245896727371, 0.7299703264094956, 7, 0.0112, 0.7264, 1.0, 2.2304, 0.5576, 0.2736
balance-scale, 625, 4, ODRI_T, 75, 0.12, false, 0.2592, 0.6504321270851349, 0.7101967799642218, 0.6789818332668716, 0.7057757758720856, 7, 0.0112, 0.7264, 1.0, 2.2304, 0.5576, 0.2736
balance-scale, 625, 4, ODRI_T, 75, 0.12, true, 0.2912, 0.6537494224100785, 0.7088, 0.6798455038316621, 0.7299703264094954, 7, 0.0112, 0.7264, 1.0, 2.2304, 0.5576, 0.2736
balance-scale, 625, 4, ODRI_T, 76, 0.1216, false, 0.2608, 0.6509235422159647, 0.7099644128113879, 0.679038087724883, 0.7066201663815468, 6, 0.0096, 0.7072, 0.9472, 2.0672, 0.5168, 0.24
balance-scale, 625, 4, ODRI_T, 76, 0.1216, true, 0.2816, 0.6629037694013303, 0.7184, 0.689113126873127, 0.738872403560831, 7, 0.0112, 0.7328, 1.0, 1.9648, 0.4912, 0.2672
balance-scale, 625, 4, ODRI_T, 77, 0.1232, false, 0.2592, 0.6498011027716588, 0.7096774193548387, 0.6783703246361712, 0.7051742270951434, 6, 0.0096, 0.7072, 0.9472, 2.0672, 0.5168, 0.24
balance-scale, 625, 4, ODRI_T, 77, 0.1232, true, 0.2704, 0.672503606557377, 0.7296, 0.6997886216384132, 0.7492581602373887, 7, 0.0112, 0.7328, 1.0, 1.9648, 0.4912, 0.2672
balance-scale, 625, 4, ODRI_T, 78, 0.1248, false, 0.2656, 0.6462596301307912, 0.7051509769094139, 0.6744211466174372, 0.7035666340327446, 6, 0.0096, 0.7072, 0.9472, 2.0672, 0.5168, 0.24
balance-scale, 625, 4, ODRI_T, 78, 0.1248, true, 0.2752, 0.6679830414746544, 0.7248, 0.6952215244846004, 0.744807121661721, 7, 0.0112, 0.7328, 1.0, 1.9648, 0.4912, 0.2672
balance-scale, 625, 4, ODRI_T, 79, 0.1264, false, 0.2672, 0.6417064914376743, 0.7007168458781362, 0.6699145071918191, 0.6978942319964264, 6, 0.0096, 0.7072, 0.9472, 2.0672, 0.5168, 0.24
balance-scale, 625, 4, ODRI_T, 79, 0.1264, true, 0.2864, 0.6576554435979357, 0.7136, 0.6844860698835274, 0.7344213649851632, 7, 0.0112, 0.7328, 1.0, 1.9648, 0.4912, 0.2672
balance-scale, 625, 4, ODRI_T, 80, 0.128, false, 0.2672, 0.6417064914376743, 0.7007168458781362, 0.6699145071918191, 0.6978942319964264, 6, 0.0096, 0.7072, 0.9472, 2.0672, 0.5168, 0.24
balance-scale, 625, 4, ODRI_T, 80, 0.128, true, 0.2864, 0.6576554435979357, 0.7136, 0.6844860698835274, 0.7344213649851632, 7, 0.0112, 0.7328, 1.0, 1.9648, 0.4912, 0.2672
balance-scale, 625, 4, ODRI_T, 81, 0.1296, false, 0.2672, 0.6417064914376743, 0.7007168458781362, 0.6699145071918191, 0.6978942319964264, 5, 0.008, 0.6512, 0.88, 2.3216, 0.5804, 0.2288
balance-scale, 625, 4, ODRI_T, 81, 0.1296, true, 0.2864, 0.6576554435979357, 0.7136, 0.6844860698835274, 0.7344213649851632, 6, 0.0096, 0.7424, 1.0, 1.9568, 0.4892, 0.2576
